topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Cyclopentenone prostaglandins,0.6,0.6,70,5,0.0
Cyclin-dependent kinase 1,0.8,0.8,95,70,0.0
Face perception,1.0,1.0,37,5,0.0
Cycloastragenol,0.8,0.8,29,85,0.0
Fabry disease,0.8,0.8,97,5,0.0
Fabales,0.6,0.6,76,5,0.0
FFV1,0.6,0.6,85,10,0.0
FAIRE-Seq,0.6,0.6,25,85,0.0
Expulsion of Germans from Czechoslovakia,1.0,1.0,36,5,0.0
F1 hybrid,0.6,0.6,79,5,0.0
E–Z notation,0.8,0.8,20,25,0.0
"Extranodal NK/T-cell lymphoma, nasal type",1.0,1.0,53,30,0.0
Extraction (chemistry),0.8,0.8,65,5,0.0
Extracellular RNA,0.6,0.6,55,50,0.0
External storage,1.0,1.0,32,5,0.0
Fibrinogen,0.8,0.8,84,10,0.0
Fibrinoid necrosis,0.8,0.8,1,35,0.0
Fibrinolysis,1.0,1.0,22,10,0.0
Flower microbiology,0.8,0.8,0,5,0.0
Food history,0.8,0.8,26,5,0.0
Cryoprecipitate,0.8,0.8,72,5,0.0
Food dehydrator,0.6,0.6,24,5,0.0
Food and drink prohibitions,0.8,0.8,75,5,0.0
Food and biological process engineering,0.8,0.8,66,35,0.0
Cryptobiosis,1.0,1.0,99,5,0.0
Cryptochrome,1.0,1.0,57,15,0.0
Cryptococcus neoformans,0.6,0.6,7,15,0.0
Follicular lymphoma,0.6,0.6,26,25,0.0
Focke-Wulf Volksjäger,0.6,0.6,26,5,0.0
Cucumis melo,0.8,0.8,63,5,0.0
Cucurbita argyrosperma,0.6,0.6,24,5,0.0
Cucurbita ficifolia,0.6,0.6,78,10,0.0
Fluorescence microscope,0.8,0.8,6,5,0.0
Fluid compartments,0.8,0.8,49,15,0.0
Food irradiation,0.6,0.6,16,5,0.0
Force field (chemistry),0.8,0.8,88,5,0.0
Ford–Fulkerson algorithm,1.0,1.0,39,5,0.0
Fractal burning,0.6,0.6,50,5,0.0
Frumenty,0.6,0.6,32,5,0.0
Frontonasal dysplasia,0.6,0.6,61,5,0.0
Friulian language,1.0,1.0,68,5,0.0
Free-space path loss,0.6,0.6,16,5,0.0
Crotalus scutulatus,1.0,1.0,58,5,0.0
Crotalus viridis,0.8,0.8,77,10,0.0
Fountain code,0.6,0.6,45,5,0.0
Cryonics,0.8,0.8,41,5,0.0
Cryogenic electron tomography,0.8,0.8,72,5,0.0
Fort Lauderdale airport shooting,0.8,0.8,32,5,0.0
Formula editor,1.0,1.0,26,5,0.0
Formamide,0.8,0.8,34,5,0.0
Forest plot,0.8,0.8,80,10,0.0
Forensic palynology,0.8,0.8,77,15,0.0
Floyd–Warshall algorithm,0.8,0.8,80,5,0.0
Flow-based generative model,0.6,0.6,40,5,0.0
Fibroblast growth factor,0.6,0.6,30,5,0.0
Flow cytometry,0.8,0.8,92,20,0.0
Fire class,1.0,1.0,58,5,0.0
Finite difference coefficient,1.0,1.0,97,5,0.0
Fingerprint (computing),0.6,0.6,89,5,0.0
Film preservation,0.6,0.6,79,5,0.0
Cumbric,0.6,0.6,86,5,0.0
File format,0.6,0.6,98,10,0.0
Cumulus mediocris cloud,0.6,0.6,89,5,0.0
Filariasis,0.6,0.6,49,40,0.0
Field propulsion,1.0,1.0,62,5,0.0
Fidelity of quantum states,0.6,0.6,95,5,0.0
Ficoll,0.6,0.6,14,15,0.0
Fibrous protein,0.8,0.8,41,25,0.0
Fibrosarcoma,1.0,1.0,7,5,0.0
Fibrolamellar hepatocellular carcinoma,0.8,0.8,52,35,0.0
Fibroblast growth factor 2,0.8,0.8,37,20,0.0
First normal form,0.6,0.6,95,5,0.0
First universal common ancestor,0.8,0.8,73,30,0.0
Fis,0.8,0.8,18,245,0.0
Cucurbitacin,0.6,0.6,23,145,0.0
Flour beetle,1.0,1.0,31,5,0.0
Cucurbita moschata,0.8,0.8,86,5,0.0
Flmodafinil,1.0,1.0,50,10,0.0
Flint corn,0.6,0.6,11,5,0.0
Cucurbitaceae,0.6,0.6,48,20,0.0
Flavonols,0.6,0.6,28,25,0.0
Flammability limit,0.6,0.6,22,5,0.0
Cultured pearl,0.6,0.6,80,5,0.0
Culicinae,0.6,0.6,3,15,0.0
Five prime untranslated region,0.6,0.6,99,40,0.0
Fitness (biology),1.0,1.0,48,5,0.0
Fishing expedition,1.0,1.0,67,5,0.0
Fisher kernel,1.0,1.0,9,110,0.0
Cultural depictions of tuberculosis,0.8,0.8,10,5,0.0
Input lag,0.8,0.8,33,5,0.0
Index of criminology articles,1.0,1.0,39,10,0.0
Chlorophyll,0.8,0.8,38,5,0.0
List of Roman nomina,1.0,1.0,49,5,0.0
List of RTMP software,0.8,0.8,25,5,0.0
List of RNLB lifeboats,0.6,0.6,31,5,0.0
List of RNA-Seq bioinformatics tools,0.6,0.6,44,175,0.0
List of RFCs,0.6,0.6,82,15,0.0
List of Quercus species,0.8,0.8,89,10,0.0
List of PowerPC processors,0.6,0.6,69,5,0.0
List of Portuguese food and drink products with protected status,0.8,0.8,66,5,0.0
List of PlayStation VR games,0.8,0.8,99,30,0.0
List of Phoenix Suns players by number,0.6,0.6,87,25,0.0
List of Pakistani spices,0.8,0.8,49,5,0.0
Cannabinoid receptor,0.8,0.8,12,15,0.0
List of PDF software,1.0,1.0,37,60,0.0
List of Orsolobidae species,0.8,0.8,41,15,0.0
List of OMIM disorder codes,0.6,0.6,87,55,0.0
List of Nissan engines,0.8,0.8,70,5,0.0
List of Rollins College alumni,0.8,0.8,34,140,0.0
List of SIP response codes,0.8,0.8,54,5,0.0
Casuariiformes,1.0,1.0,94,5,0.0
Cannabinoid,0.8,0.8,89,5,0.0
List of UN numbers 3401 to 3500,0.6,0.6,1,20,0.0
List of U.S. Army rocket launchers,0.6,0.6,98,35,0.0
List of Tom and Jerry Tales episodes,0.8,0.8,63,40,0.0
List of The Roy Rogers Show episodes,0.6,0.6,49,190,0.0
List of TCP and UDP port numbers,0.6,0.6,71,5,0.0
Cannabigerol,1.0,1.0,38,15,0.0
List of Space Launch System launches,0.6,0.6,97,5,0.0
List of Soviet tank factories,0.8,0.8,78,5,0.0
List of Soviet military units that lost their standards in World War II,0.6,0.6,87,5,0.0
List of Soviet assassinations,0.6,0.6,23,5,0.0
List of Southern African indigenous trees and woody lianes,0.6,0.6,85,35,0.0
List of Sephardic Jews,1.0,1.0,46,5,0.0
List of Schedule 3 substances (CWC),0.6,0.6,27,15,0.0
List of Schedule 1 substances (CWC),0.6,0.6,68,25,0.0
List of Sapindaceae genera,0.6,0.6,19,75,0.0
List of Nepenthes literature,0.6,0.6,77,5,0.0
List of NGC objects (1–1000),0.8,0.8,91,35,0.0
List of NATO reporting names for surface-to-surface missiles,1.0,1.0,98,5,0.0
List of NATO reporting names for miscellaneous aircraft,1.0,1.0,85,5,0.0
Cannon.js,0.6,0.6,99,5,0.0
List of Kaypro games,0.8,0.8,27,10,0.0
List of Joe Biden 2020 presidential campaign endorsements,0.8,0.8,92,30,0.0
List of Jewish prayers and blessings,0.6,0.6,21,5,0.0
List of Japanese operations during World War II,0.8,0.8,38,5,0.0
List of Japanese ingredients,1.0,1.0,54,5,0.0
List of Israeli inventions and discoveries,1.0,1.0,55,5,0.0
List of Intel Xeon chipsets,0.6,0.6,53,5,0.0
List of Indonesian Indos,1.0,1.0,59,10,0.0
List of Indo-European languages,0.6,0.6,76,20,0.0
List of Ice Age species preserved as permafrost mummies,1.0,1.0,73,35,0.0
List of IOMMU-supporting hardware,0.6,0.6,95,5,0.0
List of Howard University people,0.8,0.8,60,25,0.0
List of HABS documentation of Wendover Air Force Base,0.6,0.6,98,10,0.0
Canntaireachd,0.8,0.8,60,5,0.0
List of Korean War flying aces,0.6,0.6,99,5,0.0
List of Kriegsmarine ships,0.8,0.8,77,5,0.0
List of LIMS software packages,0.8,0.8,3,5,0.0
List of Masters of the Horse,0.8,0.8,66,5,0.0
List of NATO Supply Classification Groups,1.0,1.0,88,10,0.0
List of MythBusters special episodes,0.6,0.6,93,5,0.0
List of Miss Supranational titleholders,0.6,0.6,65,10,0.0
List of Mesozoic birds,0.8,0.8,58,150,0.0
List of MeSH codes (M01),0.8,0.8,95,15,0.0
Cannabis tea,0.8,0.8,81,5,0.0
List of LucasArts games,0.8,0.8,34,15,0.0
List of Latin phrases (full),0.6,0.6,55,20,0.0
List of Logitech products,0.6,0.6,63,10,0.0
List of Lindenwood Lions men's ice hockey seasons,0.8,0.8,55,15,0.0
List of Latino Republicans,0.8,0.8,87,45,0.0
List of Latin-script letters,0.6,0.6,56,15,0.0
Canned fish,1.0,1.0,11,5,0.0
List of Latin place names in Britain,1.0,1.0,83,5,0.0
List of United States Coast Guard enlisted ranks,0.6,0.6,50,5,0.0
List of United States Navy ships,0.6,0.6,94,5,0.0
List of United States political families (J),0.6,0.6,100,5,0.0
List of authors of South African animal taxa,1.0,1.0,80,20,0.0
List of birds of Guatemala,0.6,0.6,55,15,0.0
List of birds of Florida,0.8,0.8,18,5,0.0
Calvin cycle,0.8,0.8,81,20,0.0
List of birds of Ceará,0.8,0.8,54,5,0.0
List of birds of Arizona,0.6,0.6,65,40,0.0
List of birds of Antarctica,0.6,0.6,64,5,0.0
List of birds of Africa,0.6,0.6,28,25,0.0
List of birds displaying homosexual behavior,0.6,0.6,75,5,0.0
"Cameron Station (Alexandria, Virginia)",0.6,0.6,99,5,0.0
List of bioinformatics software,1.0,1.0,89,155,0.0
List of biochemists,0.6,0.6,57,70,0.0
Camp Speicher massacre,0.6,0.6,88,20,0.0
List of battles by casualties,0.6,0.6,19,5,0.0
List of battles 1901–2000,0.8,0.8,28,5,0.0
List of banana cultivars,0.6,0.6,84,5,0.0
Calvatia craniiformis,0.8,0.8,93,5,0.0
Calmodulin,0.6,0.6,49,120,0.0
List of birds of Kentucky,0.8,0.8,92,5,0.0
California Proposition 65 list of chemicals,0.6,0.6,46,10,0.0
List of books bound in human skin,0.8,0.8,68,5,0.0
List of bombings during the Iraq War,0.8,0.8,17,10,0.0
List of birds of the Maldives,0.6,0.6,27,5,0.0
Caldesmon,0.8,0.8,98,5,0.0
Calgary–Cambridge model,0.6,0.6,61,5,0.0
List of birds of Sri Lanka,0.8,0.8,52,5,0.0
List of birds of Samoa,0.6,0.6,65,10,0.0
List of birds of Laos,0.6,0.6,61,10,0.0
List of birds of Saint Kitts and Nevis,0.6,0.6,71,10,0.0
List of birds of Rhode Island,0.8,0.8,28,5,0.0
List of birds of Ohio,0.6,0.6,89,10,0.0
List of birds of Norfolk Island,0.8,0.8,61,5,0.0
Calliphora vomitoria,0.6,0.6,39,5,0.0
List of birds of Louisiana,0.6,0.6,7,5,0.0
List of automotive superlatives,0.6,0.6,11,5,0.0
List of atheists (surnames R to S),0.6,0.6,53,10,0.0
List of Upper Middle Bogan episodes,0.6,0.6,84,5,0.0
List of archive formats,0.6,0.6,31,10,0.0
List of aircraft losses of the Vietnam War,0.5,0.5,53,4,0.0
List of aircraft by tail number,0.6,0.6,19,5,0.0
List of aircraft (Br–Bz),0.6,0.6,23,5,0.0
List of acts of the Parliament of England from 1491,0.8,0.8,41,5,0.0
List of active ships of the Colombian Navy,0.6,0.6,15,5,0.0
List of active Russian military aircraft,0.6,0.6,19,25,0.0
List of accidents and incidents involving the Boeing B-52 Stratofortress,0.75,0.75,18,4,0.0
List of academic databases and search engines,1.0,1.0,84,515,0.0
Candidiasis,0.6,0.6,0,5,0.0
List of abbreviations for diseases and disorders,0.8,0.8,63,195,0.0
List of Yu-Gi-Oh! video games,0.6,0.6,67,5,0.0
List of World War II weapons,1.0,1.0,82,5,0.0
List of West Coast Eagles players,0.8,0.8,98,45,0.0
Canine degenerative myelopathy,1.0,1.0,63,10,0.0
List of Utah artists,0.8,0.8,99,20,0.0
List of aircraft of the Malaysian Armed Forces,1.0,1.0,96,5,0.0
List of airline codes,0.8,0.8,86,10,0.0
List of airline codes (A),0.8,0.8,4,460,0.0
List of anatomical variations,0.6,0.6,2,5,0.0
List of apple dishes,0.8,0.8,38,5,0.0
List of antiretroviral fixed-dose combinations,1.0,1.0,77,5,0.0
List of antioxidants in food,1.0,1.0,29,25,0.0
Cancer,0.6,0.6,85,40,0.0
List of animals displaying homosexual behavior,0.8,0.8,20,10,0.0
List of animals by number of legs,0.6,0.6,100,5,0.0
List of ambassadors of Italy to Israel,0.6,0.6,75,75,0.0
List of airline codes (S),0.6,0.6,39,480,0.0
List of alternative country names,0.8,0.8,85,5,0.0
List of allergens,0.8,0.8,76,5,0.0
List of alleged extraterrestrial beings,0.8,0.8,48,10,0.0
List of alchemical substances,0.8,0.8,66,5,0.0
List of airlines of Venezuela,1.0,1.0,94,10,0.0
List of airlines of Burkina Faso,0.8,0.8,72,165,0.0
List of Greek and Latin roots in English/H–O,1.0,1.0,87,10,0.0
List of Greek and Latin roots in English/A–G,0.6,0.6,37,5,0.0
List of Go terms,0.6,0.6,23,5,0.0
Levosalbutamol,0.6,0.6,31,5,0.0
Cardiotoxicity,1.0,1.0,80,5,0.0
Ligand (biochemistry),1.0,1.0,92,25,0.0
Ligamenta flava,0.8,0.8,92,5,0.0
Lifestyle causes of type 2 diabetes,0.8,0.8,22,35,0.0
Life Sciences Institute,0.6,0.6,62,5,0.0
Lie algebra representation,0.6,0.6,87,15,0.0
Library classification,1.0,1.0,19,5,0.0
Library (computing),0.6,0.6,64,10,0.0
Library,1.0,1.0,68,5,0.0
Libjpeg,0.6,0.6,32,5,0.0
Liberation of Kherson,0.6,0.6,56,5,0.0
Libellula depressa,0.6,0.6,76,5,0.0
Lexical–gustatory synesthesia,0.8,0.8,25,50,0.0
Lexical semantics,1.0,1.0,70,40,0.0
Lexical density,1.0,1.0,76,10,0.0
Ligelizumab,0.6,0.6,87,5,0.0
Light's associativity test,0.6,0.6,62,5,0.0
Lightweight markup language,1.0,1.0,60,5,0.0
Lineage (evolution),1.0,1.0,78,30,0.0
Linear model,0.6,0.6,37,5,0.0
Linear hashing,0.8,0.8,90,35,0.0
Linear epitope,0.8,0.8,11,10,0.0
Linear classifier,1.0,1.0,64,5,0.0
Insect toxin,0.6,0.6,63,40,0.0
Linear A (Unicode block),0.8,0.8,41,10,0.0
Line (heraldry),1.0,1.0,66,5,0.0
Lignophagia,1.0,1.0,30,5,0.0
Cardiac physiology,0.6,0.6,46,5,0.0
Linaria,0.6,0.6,67,15,0.0
Limited-memory BFGS,1.0,1.0,73,15,0.0
Lim1 transcription factor,0.6,0.6,58,10,0.0
Liliaceae,0.6,0.6,4,5,0.0
Likelihood ratios in diagnostic testing,0.8,0.8,84,5,0.0
Lexical chain,1.0,1.0,29,35,0.0
Levorphanol,1.0,1.0,62,5,0.0
Linear-nonlinear-Poisson cascade model,1.0,1.0,64,20,0.0
Caret (proofreading),0.8,0.8,48,5,0.0
Carpathian Campaign,0.6,0.6,73,5,0.0
Carpatho-Ukraine,0.8,0.8,63,5,0.0
Leptin,1.0,1.0,25,20,0.0
Carprofen,0.6,0.6,94,5,0.0
Carrageenan,0.8,0.8,86,5,0.0
Leonurine,0.8,0.8,22,30,0.0
Case–control study,0.6,0.6,22,5,0.0
Casimir element,0.8,0.8,53,5,0.0
Lentil soup,0.8,0.8,77,5,0.0
Castilians,0.8,0.8,51,5,0.0
Length constant,0.6,0.6,61,5,0.0
Lemuridae,0.8,0.8,52,5,0.0
Lempel–Ziv–Markov chain algorithm,0.8,0.8,64,5,0.0
Lemna,0.8,0.8,94,30,0.0
Lemke–Howson algorithm,0.6,0.6,59,15,0.0
Leptuca thayeri,0.6,0.6,48,5,0.0
Lethal Company,0.6,0.6,33,5,0.0
Carnitine,0.8,0.8,66,50,0.0
Leukoedema,1.0,1.0,99,5,0.0
Caret notation,0.6,0.6,73,10,0.0
Levomefolic acid,0.8,0.8,65,50,0.0
Leukotriene,1.0,1.0,28,15,0.0
Leukostasis,0.8,0.8,28,5,0.0
Cariamiformes,1.0,1.0,78,5,0.0
Carlos D. Bustamante,0.8,0.8,70,5,0.0
Leukodystrophy,0.6,0.6,79,15,0.0
Letter of 5000,0.6,0.6,43,5,0.0
Leukocyte immunoglobulin-like receptors,0.6,0.6,3,45,0.0
Leukocyte extravasation,1.0,1.0,19,5,0.0
Leukocyte esterase,0.8,0.8,67,20,0.0
Leukoaraiosis,1.0,1.0,101,5,0.0
Leucocyanidin,0.8,0.8,54,70,0.0
Leucoanthocyanidin,0.6,0.6,95,5,0.0
Linear search,0.6,0.6,72,15,0.0
Lineweaver–Burk plot,0.8,0.8,12,20,0.0
List of Glagolitic manuscripts (1900–present),0.6,0.6,90,5,0.0
Carbocisteine,1.0,1.0,71,10,0.0
List of Charlie's Angels episodes,0.6,0.6,30,35,0.0
List of CIL instructions,0.8,0.8,79,5,0.0
List of CAS numbers by chemical compound,1.0,1.0,95,20,0.0
List of British firefighters killed in the line of duty,0.6,0.6,100,5,0.0
List of British films of 1973,0.8,0.8,57,5,0.0
List of British Columbia senators,0.6,0.6,82,5,0.0
Capsicum pubescens,0.8,0.8,46,5,0.0
List of Bantu languages,0.6,0.6,87,5,0.0
List of BMP-1 variants,0.8,0.8,90,5,0.0
List of B-52 Units of the United States Air Force,0.6,0.6,62,5,0.0
List of Australian artists,0.8,0.8,80,25,0.0
List of Atlantic hurricane records,0.6,0.6,86,5,0.0
List of Arleigh Burke-class destroyers,0.8,0.8,95,10,0.0
List of Archie Bunker's Place episodes,0.8,0.8,65,10,0.0
Capsule neural network,1.0,1.0,20,5,0.0
List of Chinese classifiers,0.8,0.8,64,15,0.0
List of Chinese martial arts,0.8,0.8,40,5,0.0
List of Commodore 64 games,0.6,0.6,88,5,0.0
List of Euphorbia species (P–Z),0.6,0.6,58,10,0.0
List of Germans who resisted Nazism,1.0,1.0,97,5,0.0
List of Germanic and Latinate equivalents in English,1.0,1.0,96,15,0.0
List of German exonyms for places in Croatia,0.6,0.6,85,5,0.0
List of French peerages,0.8,0.8,35,5,0.0
List of Franklin episodes,0.6,0.6,82,5,0.0
List of Falcon 9 and Falcon Heavy launches (2010–2019),0.6,0.6,45,5,0.0
List of English words of Gaulish origin,0.6,0.6,46,200,0.0
List of Corydoras species,0.6,0.6,15,10,0.0
List of English palindromic phrases,0.6,0.6,25,5,0.0
List of Drew University people,0.6,0.6,90,10,0.0
List of DNS record types,1.0,1.0,31,30,0.0
List of Croatian NBA players,0.8,0.8,58,10,0.0
List of Croatian Americans,0.6,0.6,72,210,0.0
List of Costa Rican monkey species,0.6,0.6,93,5,0.0
List of Anthrax members,1.0,1.0,85,10,0.0
List of American libertarians,0.6,0.6,73,20,0.0
Linguistic description,1.0,1.0,55,5,0.0
List of Amanita species,0.8,0.8,72,180,0.0
Lipid storage disorder,0.8,0.8,29,5,0.0
Lipid signaling,0.8,0.8,100,10,0.0
Lipid bilayer,1.0,1.0,13,60,0.0
Lipid A,0.6,0.6,28,260,0.0
Carcinoma,1.0,1.0,49,5,0.0
Liphistiidae,0.8,0.8,71,10,0.0
Lipase inhibitors,0.8,0.8,2,10,0.0
Lipase,1.0,1.0,84,15,0.0
Cardiac amyloidosis,1.0,1.0,27,10,0.0
Lion algorithm,0.8,0.8,75,5,0.0
Lin–Kernighan heuristic,0.8,0.8,89,5,0.0
Linked Data Notifications,0.8,0.8,93,20,0.0
Linkage disequilibrium score regression,0.8,0.8,3,10,0.0
Linkage disequilibrium,0.6,0.6,0,5,0.0
Linguistic reconstruction,1.0,1.0,51,10,0.0
Carboxyhemoglobin,1.0,1.0,56,20,0.0
Lipid-gated ion channels,0.8,0.8,77,15,0.0
Lipid-laden alveolar macrophage,0.6,0.6,75,15,0.0
Lipoprotein lipase,1.0,1.0,31,5,0.0
List of ARM processors,0.6,0.6,37,5,0.0
List of 5α-reductase inhibitors,1.0,1.0,84,10,0.0
List (abstract data type),1.0,1.0,77,15,0.0
List,0.8,0.8,95,15,0.0
Lipoxin,0.6,0.6,57,35,0.0
Liposarcoma,0.6,0.6,20,15,0.0
Lipoprotein,0.8,0.8,95,20,0.0
Lipoarabinomannan,0.8,0.8,79,95,0.0
Carbohydrate,0.8,0.8,95,5,0.0
Lipolysis,0.6,0.6,43,10,0.0
Carbonic anhydrase,0.8,0.8,82,5,0.0
Lipofection,1.0,1.0,0,5,0.0
Carbonyl sulfide,0.6,0.6,71,5,0.0
Lipodermatosclerosis,0.6,0.6,59,5,0.0
Calcium in biology,0.6,0.6,67,10,0.0
List of bridges in Egypt,0.6,0.6,72,5,0.0
List of bullpup firearms,1.0,1.0,90,5,0.0
List of monotremes and marsupials of Australia,0.6,0.6,56,5,0.0
List of nobles and magnates of France in the 13th century,0.6,0.6,22,5,0.0
List of newspaper archives,0.6,0.6,69,20,0.0
List of news media APIs,1.0,1.0,38,10,0.0
List of neuroscience databases,1.0,1.0,32,455,0.0
List of neuromuscular disorders,0.8,0.8,13,5,0.0
List of neurological conditions and disorders,1.0,1.0,16,20,0.0
List of network protocols (OSI model),0.8,0.8,36,5,0.0
C-terminal telopeptide,0.6,0.6,58,5,0.0
List of navies,0.6,0.6,16,5,0.0
List of mythology books and sources,0.8,0.8,73,5,0.0
List of mythological objects,0.8,0.8,45,5,0.0
List of musical instruments,0.8,0.8,81,5,0.0
List of mushroom dishes,1.0,1.0,78,5,0.0
C3 carbon fixation,0.6,0.6,69,5,0.0
List of mummies,0.8,0.8,28,10,0.0
List of nonlinear partial differential equations,0.6,0.6,30,10,0.0
List of nuclear and radiation fatalities by country,0.6,0.6,73,5,0.0
List of number fields with class number one,1.0,1.0,100,5,0.0
List of owners of English football clubs,0.6,0.6,47,10,0.0
List of people with synesthesia,0.6,0.6,43,60,0.0
List of people with epilepsy,0.8,0.8,76,20,0.0
List of people with bipolar disorder,1.0,1.0,17,5,0.0
List of people who were executed,0.6,0.6,72,15,0.0
List of people claimed to possess an eidetic memory,1.0,1.0,49,5,0.0
List of people associated with the French Revolution,0.6,0.6,61,5,0.0
List of optimization software,0.6,0.6,59,10,0.0
List of numbers in Hindu scriptures,0.8,0.8,24,5,0.0
List of opioids,1.0,1.0,88,5,0.0
List of open file formats,1.0,1.0,90,5,0.0
List of onomatopoeias,0.8,0.8,18,5,0.0
List of omics topics in biology,1.0,1.0,42,75,0.0
List of oldest trees,1.0,1.0,36,115,0.0
List of numeral system topics,0.8,0.8,95,70,0.0
List of multivariable calculus topics,1.0,1.0,37,20,0.0
List of monastic houses in Scotland,0.8,0.8,13,5,0.0
List of phobias,0.6,0.6,83,10,0.0
List of monastic houses in County Louth,0.8,0.8,51,5,0.0
List of massacres in the Croatian War of Independence,0.8,0.8,37,5,0.0
List of massacres in Ottoman Bulgaria,0.8,0.8,27,5,0.0
List of martial arts weapons,1.0,1.0,32,15,0.0
List of marine mammal species,0.6,0.6,20,5,0.0
List of mammals of the Central African Republic,0.6,0.6,80,5,0.0
List of mammals of the Canary Islands,0.6,0.6,77,5,0.0
List of mammals of Wyoming,0.6,0.6,63,5,0.0
List of mammals of Wisconsin,0.6,0.6,61,5,0.0
List of mammals of South Africa,0.6,0.6,43,5,0.0
CAMEO3D,0.6,0.6,38,135,0.0
List of mammals of Grenada,0.6,0.6,96,5,0.0
List of mammals of Grand Teton National Park,0.8,0.8,86,5,0.0
List of mammals of Angola,0.6,0.6,15,5,0.0
List of mammals of Alaska,0.6,0.6,39,10,0.0
List of mammals described in the 2000s,0.8,0.8,63,5,0.0
List of mathematical knots and links,0.6,0.6,37,30,0.0
List of mathematical logic topics,1.0,1.0,71,5,0.0
"List of medical roots, suffixes and prefixes",0.6,0.6,39,5,0.0
List of military operations in the West European Theater during World War II by year,1.0,1.0,35,10,0.0
List of model organisms,0.6,0.6,63,275,0.0
List of missiles,0.8,0.8,15,5,0.0
List of minor planets and comets visited by spacecraft,0.6,0.6,74,5,0.0
List of minerals named after people,1.0,1.0,43,10,0.0
List of military transport aircraft,0.6,0.6,82,10,0.0
List of military operations in the war in Afghanistan (2001–2021),0.8,0.8,23,5,0.0
List of military aircraft of Japan,0.6,0.6,9,5,0.0
List of medically significant spider bites,0.6,0.6,65,55,0.0
List of military aircraft of Germany,1.0,1.0,75,5,0.0
List of military aid to Ukraine during the Russo-Ukrainian War,0.8,0.8,90,5,0.0
List of microphone manufacturers,0.6,0.6,81,5,0.0
List of methanol poisoning incidents,0.6,0.6,26,40,0.0
List of meteor showers,0.6,0.6,98,5,0.0
C3b,0.8,0.8,27,30,0.0
List of pest-repelling plants,1.0,1.0,10,5,0.0
List of photographic equipment makers,0.8,0.8,21,5,0.0
List of lochs of Scotland,0.8,0.8,48,5,0.0
List of regional county municipalities and equivalent territories in Quebec,0.6,0.6,17,5,0.0
List of ships of Russia by project number,0.8,0.8,51,5,0.0
List of ships damaged by kamikaze attack,0.8,0.8,22,5,0.0
Byssinosis,0.6,0.6,33,5,0.0
List of sequence alignment software,1.0,1.0,14,90,0.0
List of secular humanists,0.6,0.6,87,5,0.0
Byte pair encoding,1.0,1.0,37,35,0.0
List of scientific journals,0.6,0.6,49,50,0.0
List of school massacres by death toll,0.8,0.8,25,10,0.0
List of rules of inference,0.8,0.8,56,15,0.0
List of rivers of the United States,0.6,0.6,36,10,0.0
Bélády's anomaly,0.8,0.8,65,5,0.0
List of retailers affected by the retail apocalypse,0.6,0.6,48,5,0.0
List of reptiles of Lesotho,0.6,0.6,40,5,0.0
List of reptiles,0.8,0.8,99,5,0.0
List of reported UFO sightings,0.6,0.6,58,5,0.0
List of short titles,0.6,0.6,33,5,0.0
List of side effects of buspirone,0.6,0.6,29,5,0.0
List of signs and symptoms of diving disorders,0.8,0.8,70,5,0.0
List of suicides in Nazi Germany,0.6,0.6,44,5,0.0
List of technology terms,0.6,0.6,99,5,0.0
List of tanker aircraft,1.0,1.0,8,5,0.0
List of systems of plant taxonomy,0.6,0.6,75,10,0.0
List of systems biology modeling software,0.6,0.6,79,95,0.0
List of symbols designated by the Anti-Defamation League as hate symbols,0.8,0.8,84,5,0.0
List of sunbirds,0.8,0.8,85,5,0.0
List of substances used in rituals,0.6,0.6,86,15,0.0
List of skeletal muscles of the human body,1.0,1.0,93,15,0.0
List of string figures,0.8,0.8,95,70,0.0
List of strawberry cultivars,0.8,0.8,67,5,0.0
List of stationery topics,0.8,0.8,45,5,0.0
List of sovereign states in the 1850s,0.6,0.6,65,10,0.0
List of software development philosophies,1.0,1.0,45,10,0.0
List of smoked foods,1.0,1.0,13,5,0.0
List of religious texts,0.8,0.8,31,5,0.0
List of regiments and corps of the Indian Army,0.8,0.8,99,5,0.0
List of photographs considered the most important,0.6,0.6,70,5,0.0
List of refugees,0.6,0.6,95,5,0.0
List of primates described in the 2020s,0.6,0.6,85,5,0.0
List of previously missing aircraft,0.8,0.8,50,10,0.0
C file input/output,0.8,0.8,47,5,0.0
List of postal entities,0.6,0.6,100,15,0.0
List of political parties in Southern Europe,0.6,0.6,63,5,0.0
List of political parties in Catalonia,0.6,0.6,44,5,0.0
List of polio survivors,0.8,0.8,77,180,0.0
List of poisonous plants,0.8,0.8,10,60,0.0
List of poisonous fungus species,0.6,0.6,6,25,0.0
List of playwrights by nationality and year of birth,0.8,0.8,12,40,0.0
List of plant family names with etymologies,0.6,0.6,50,25,0.0
List of pines by region,0.8,0.8,44,15,0.0
List of physical quantities,0.6,0.6,34,25,0.0
List of physical constants,0.8,0.8,88,5,0.0
C syntax,0.8,0.8,100,5,0.0
List of prime ministers of Belgium by time in office,0.6,0.6,59,5,0.0
List of programming languages by type,1.0,1.0,76,5,0.0
List of proposed language families,1.0,1.0,29,20,0.0
List of real-time tactics video games,1.0,1.0,56,35,0.0
List of rediscovered film footage,0.8,0.8,86,15,0.0
List of reconstructed Dacian words,0.6,0.6,69,5,0.0
List of recombinant proteins,0.6,0.6,70,145,0.0
