topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Judge Rotenberg Center,0.6,0.6,89,10,0.0
List of Japanese operations during World War II,0.8,0.8,38,5,0.0
List of Nissan engines,0.8,0.8,70,5,0.0
List of Japanese ingredients,1.0,1.0,54,5,0.0
Juniperus virginiana,0.8,0.8,11,5,0.0
List of Israeli inventions and discoveries,1.0,1.0,55,5,0.0
Junk fax,1.0,1.0,12,5,0.0
List of Intel Xeon chipsets,0.6,0.6,53,5,0.0
Juxtacapillary receptors,0.8,0.8,14,15,0.0
List of Indonesian Indos,1.0,1.0,59,10,0.0
List of Indo-European languages,0.6,0.6,76,20,0.0
K-medoids,0.6,0.6,43,30,0.0
List of Ice Age species preserved as permafrost mummies,1.0,1.0,73,35,0.0
Johnson's algorithm,0.8,0.8,93,5,0.0
Johnson (given name),0.8,0.8,64,5,0.0
List of Latin-script letters,0.6,0.6,56,15,0.0
John Nkengasong,0.6,0.6,63,5,0.0
List of NATO reporting names for surface-to-surface missiles,1.0,1.0,98,5,0.0
List of NATO reporting names for miscellaneous aircraft,1.0,1.0,85,5,0.0
Japanese swordsmithing,0.6,0.6,76,5,0.0
Jarisch–Herxheimer reaction,1.0,1.0,42,10,0.0
List of NATO Supply Classification Groups,1.0,1.0,88,10,0.0
Jean Beguin,0.6,0.6,22,5,0.0
Jehoiachin's Rations Tablets,0.6,0.6,36,10,0.0
List of MythBusters special episodes,0.6,0.6,93,5,0.0
Jehovah's Witnesses congregational discipline,1.0,1.0,66,5,0.0
List of Miss Supranational titleholders,0.6,0.6,65,10,0.0
Jennifer Doudna,0.6,0.6,44,5,0.0
List of Mesozoic birds,0.8,0.8,58,150,0.0
List of McDonnell Douglas F-4 Phantom II variants,0.8,0.8,85,20,0.0
Jess (programming language),0.8,0.8,38,5,0.0
Jesse Gelsinger,0.8,0.8,12,10,0.0
List of Masters of the Horse,0.8,0.8,66,5,0.0
List of LucasArts games,0.8,0.8,34,15,0.0
Jewish views on suicide,0.8,0.8,46,10,0.0
Joanna Tse,0.6,0.6,33,5,0.0
Jod-Basedow phenomenon,0.8,0.8,36,5,0.0
List of Lindenwood Lions men's ice hockey seasons,0.8,0.8,55,15,0.0
List of aircraft losses of the Vietnam War,0.5,0.5,53,4,0.0
Isoleucine,0.6,0.6,15,5,0.0
List of airline codes (A),0.8,0.8,4,460,0.0
International Plant Names Index,1.0,1.0,88,60,0.0
List of bullpup firearms,1.0,1.0,90,5,0.0
Interleukin 23 subunit alpha,1.0,1.0,28,50,0.0
List of bridges in Egypt,0.6,0.6,72,5,0.0
List of breweries in Florida,0.6,0.6,76,5,0.0
List of bombings during the Iraq War,0.8,0.8,17,10,0.0
Internal capsule,0.8,0.8,72,10,0.0
List of birds of Samoa,0.6,0.6,65,10,0.0
List of birds of Ohio,0.6,0.6,89,10,0.0
International Dunhuang Project,0.6,0.6,10,5,0.0
List of birds of Louisiana,0.6,0.6,7,5,0.0
International Society for Computational Biology,0.8,0.8,98,15,0.0
Isoelectric focusing,1.0,1.0,85,20,0.0
List of birds of Laos,0.6,0.6,61,10,0.0
International Standard Name Identifier,0.6,0.6,53,15,0.0
List of birds of Kentucky,0.8,0.8,92,5,0.0
International Survivors of Suicide Loss Day,0.6,0.6,69,5,0.0
International Union of Biochemistry and Molecular Biology,0.6,0.6,45,5,0.0
List of birds of Guatemala,0.6,0.6,55,15,0.0
List of birds of Florida,0.8,0.8,18,5,0.0
Internet censorship and surveillance in the Americas,0.6,0.6,47,5,0.0
List of birds of Arizona,0.6,0.6,65,40,0.0
Internet checksum,0.6,0.6,27,10,0.0
List of business simulation video games,0.8,0.8,52,15,0.0
Interferon type I,0.8,0.8,88,240,0.0
Intercalation (biochemistry),0.8,0.8,81,10,0.0
Interactome,0.6,0.6,77,55,0.0
Insects in Japanese culture,1.0,1.0,89,5,0.0
List of commonly misused English words,0.8,0.8,59,5,0.0
Institutional Animal Care and Use Committee,0.8,0.8,45,10,0.0
List of common household pests,0.6,0.6,75,5,0.0
Instructional materials,0.8,0.8,79,5,0.0
Insular cortex,0.8,0.8,64,5,0.0
Insulin index,0.8,0.8,53,45,0.0
List of collectables,1.0,1.0,15,5,0.0
Integer sequence,0.6,0.6,14,5,0.0
Integrase inhibitor,0.8,0.8,83,5,0.0
List of cloud types,0.8,0.8,32,5,0.0
Integrated Automated Fingerprint Identification System,0.6,0.6,77,5,0.0
List of classical abbreviations,1.0,1.0,20,175,0.0
Integrin alpha M,0.8,0.8,36,25,0.0
Intelligent Input Bus,0.8,0.8,39,5,0.0
Intelligent Platform Management Interface,1.0,1.0,76,5,0.0
Intepirdine,0.6,0.6,53,5,0.0
List of chairs,1.0,1.0,20,30,0.0
Interaction (statistics),1.0,1.0,22,10,0.0
List of cathedrals in Japan,0.8,0.8,17,5,0.0
List of cannabis seizures,1.0,1.0,66,15,0.0
List of birds of Africa,0.6,0.6,28,25,0.0
List of birds displaying homosexual behavior,0.6,0.6,75,5,0.0
Internet safety,1.0,1.0,61,5,0.0
List of apple dishes,0.8,0.8,38,5,0.0
Inverted pyramid (journalism),1.0,1.0,11,5,0.0
Inverted terminal repeat,0.6,0.6,0,5,0.0
List of antiretroviral fixed-dose combinations,1.0,1.0,77,5,0.0
List of antiandrogens,0.6,0.6,61,5,0.0
List of animals displaying homosexual behavior,0.8,0.8,20,10,0.0
List of animals by number of legs,0.6,0.6,100,5,0.0
Iodomethane,0.6,0.6,18,15,0.0
List of anatomical variations,0.6,0.6,2,5,0.0
Ion speciation,1.0,1.0,92,10,0.0
Ira Mellman,0.8,0.8,87,5,0.0
Iris subg. Iris,0.8,0.8,65,10,0.0
List of allergens,0.8,0.8,76,5,0.0
Iron metabolism disorder,0.6,0.6,80,55,0.0
Iron oxide nanoparticle,0.6,0.6,96,5,0.0
Iron poisoning,0.8,0.8,23,15,0.0
Iron polymaltose,0.6,0.6,53,5,0.0
Iron preparation,0.8,0.8,37,5,0.0
Irreversible electroporation,1.0,1.0,1,15,0.0
Isabella Psalter,1.0,1.0,95,5,0.0
Isoarborinol,0.6,0.6,83,35,0.0
Isocyanide,0.8,0.8,50,15,0.0
Inverted index,0.8,0.8,19,350,0.0
Inverse-chi-squared distribution,0.6,0.6,24,5,0.0
List of bioinformatics software,1.0,1.0,89,155,0.0
List of authors of South African animal taxa,1.0,1.0,80,20,0.0
List of biochemists,0.6,0.6,57,70,0.0
Interrupt vector table,0.6,0.6,52,5,0.0
Interstellar ice,0.6,0.6,63,20,0.0
Interstitium,0.6,0.6,61,5,0.0
Interval tree,0.8,0.8,43,5,0.0
Intestinal parasite infection,1.0,1.0,8,25,0.0
List of battles by casualties,0.6,0.6,19,5,0.0
Intestinal permeability,1.0,1.0,18,5,0.0
Intracellular receptor,0.8,0.8,23,5,0.0
Intracerebral hemorrhage,0.6,0.6,23,5,0.0
Intracerebroventricular injection,1.0,1.0,96,35,0.0
Intracrine,0.6,0.6,50,10,0.0
Intraocular hemorrhage,0.8,0.8,63,5,0.0
Intraoperative blood salvage,0.8,0.8,76,5,0.0
Intraosseous infusion,0.8,0.8,19,5,0.0
Intrapleural pressure,0.8,0.8,61,10,0.0
List of battles 1901–2000,0.8,0.8,28,5,0.0
List of banana cultivars,0.6,0.6,84,5,0.0
Intravenous sugar solution,0.8,0.8,89,5,0.0
Introgression,0.6,0.6,49,30,0.0
Inulin,1.0,1.0,79,5,0.0
List of IOMMU-supporting hardware,0.6,0.6,95,5,0.0
KKXX (amino acid sequence),0.8,0.8,73,150,0.0
KSTAM,0.8,0.8,94,5,0.0
Latency (audio),0.6,0.6,16,10,0.0
Lineweaver–Burk plot,0.8,0.8,12,20,0.0
Laplace expansion,0.6,0.6,94,10,0.0
Laplace's approximation,0.6,0.6,100,5,0.0
Largest prehistoric animals,0.6,0.6,87,5,0.0
Linear-nonlinear-Poisson cascade model,1.0,1.0,64,20,0.0
Linear model,0.6,0.6,37,5,0.0
Linear hashing,0.8,0.8,90,35,0.0
Larry Rogers Jr.,0.8,0.8,6,5,0.0
Laryngeal paralysis,0.6,0.6,38,5,0.0
Laser coagulation,1.0,1.0,50,5,0.0
Linear classifier,1.0,1.0,64,5,0.0
Lacosamide,0.6,0.6,74,10,0.0
Latent homosexuality,0.8,0.8,30,5,0.0
Line (heraldry),1.0,1.0,66,5,0.0
Linaria,0.6,0.6,67,15,0.0
Latent space,1.0,1.0,84,35,0.0
Lateral earth pressure,0.6,0.6,75,5,0.0
Lathyrism,0.8,0.8,62,10,0.0
Limbic encephalitis,0.8,0.8,66,55,0.0
Latin hypercube sampling,0.6,0.6,90,5,0.0
Lim1 transcription factor,0.6,0.6,58,10,0.0
Latin square,0.6,0.6,46,15,0.0
Languages of Japan,0.6,0.6,86,5,0.0
Language shift,0.6,0.6,36,5,0.0
Language Integrated Query,1.0,1.0,46,30,0.0
Linguistic reconstruction,1.0,1.0,51,10,0.0
Lacrimal punctum,0.8,0.8,63,5,0.0
Lactarius deterrimus,0.6,0.6,57,5,0.0
Lactase,0.75,0.75,73,12,0.0
Lactase persistence,0.6,0.6,85,120,0.0
Lipase inhibitors,0.8,0.8,2,10,0.0
Lactate dehydrogenase,0.8,0.8,32,20,0.0
Lipase,1.0,1.0,84,15,0.0
Liotrix,1.0,1.0,57,5,0.0
Lactic acid fermentation,0.8,0.8,97,10,0.0
Lactiplantibacillus plantarum,0.6,0.6,27,205,0.0
Lactobacillus iners,1.0,1.0,35,5,0.0
Lake ecosystem,0.8,0.8,90,5,0.0
Lakenheath-Bentwaters incident,0.6,0.6,45,5,0.0
Lamin,0.8,0.8,49,30,0.0
"Laminin, beta 1",0.8,0.8,86,40,0.0
Lamivudine,1.0,1.0,20,20,0.0
Lancet MMR autism fraud,0.8,0.8,66,65,0.0
Linked Data Notifications,0.8,0.8,93,20,0.0
Linkage disequilibrium score regression,0.8,0.8,3,10,0.0
Landscape epidemiology,1.0,1.0,33,5,0.0
Langmuir adsorption model,1.0,1.0,59,10,0.0
Likelihood ratios in diagnostic testing,0.8,0.8,84,5,0.0
Lattice degeneration,0.8,0.8,26,5,0.0
Lightweight markup language,1.0,1.0,60,5,0.0
Lemierre's syndrome,1.0,1.0,54,5,0.0
Lemna,0.8,0.8,94,30,0.0
Lempel–Ziv–Markov chain algorithm,0.8,0.8,64,5,0.0
Lhermitte–Duclos disease,0.6,0.6,72,10,0.0
Lexical–gustatory synesthesia,0.8,0.8,25,50,0.0
Length constant,0.6,0.6,61,5,0.0
Lexical semantics,1.0,1.0,70,40,0.0
Lexical density,1.0,1.0,76,10,0.0
Leonurine,0.8,0.8,22,30,0.0
Lexical chain,1.0,1.0,29,35,0.0
Leprosy,0.8,0.8,75,5,0.0
Leptuca thayeri,0.6,0.6,48,5,0.0
Levosalbutamol,0.6,0.6,31,5,0.0
Levorphanol,1.0,1.0,62,5,0.0
Levonantradol,0.6,0.6,10,5,0.0
Levomefolic acid,0.8,0.8,65,50,0.0
Leukotriene,1.0,1.0,28,15,0.0
Leukostasis,0.8,0.8,28,5,0.0
Letter of 5000,0.6,0.6,43,5,0.0
Leucocyanidin,0.8,0.8,54,70,0.0
Leukopenia,0.8,0.8,85,5,0.0
Leukoaraiosis,1.0,1.0,101,5,0.0
Libellula depressa,0.6,0.6,76,5,0.0
Leloir pathway,0.6,0.6,98,10,0.0
Lattice problem,1.0,1.0,98,5,0.0
Leishmaniasis,0.6,0.6,0,5,0.0
Launch window,0.8,0.8,13,5,0.0
Laverania,0.6,0.6,90,5,0.0
Light's associativity test,0.6,0.6,62,5,0.0
Lifestyle causes of type 2 diabetes,0.8,0.8,22,35,0.0
Law of thought,1.0,1.0,19,5,0.0
Life Sciences Institute,0.6,0.6,62,5,0.0
Laxative,1.0,1.0,95,5,0.0
Lie algebra representation,0.6,0.6,87,15,0.0
Library (computing),0.6,0.6,64,10,0.0
Lead mining in Scotland,0.6,0.6,91,5,0.0
Lebrikizumab,0.6,0.6,20,10,0.0
Library,1.0,1.0,68,5,0.0
Lecanemab,0.6,0.6,36,5,0.0
Lector (software),0.6,0.6,97,10,0.0
Left Ginza,0.8,0.8,45,5,0.0
Legal status of Salvia divinorum in the United States,0.6,0.6,36,10,0.0
Legal terminology textbook,0.6,0.6,68,5,0.0
Lehman's laws of software evolution,1.0,1.0,14,5,0.0
Libjpeg,0.6,0.6,32,5,0.0
Leishmania,0.8,0.8,31,55,0.0
Liberation of Kherson,0.6,0.6,56,5,0.0
Lacrimal apparatus,0.8,0.8,64,5,0.0
Lipid A,0.6,0.6,28,260,0.0
Kainate receptor,0.6,0.6,10,10,0.0
Ki-67 (protein),0.6,0.6,77,20,0.0
List of Falcon 9 and Falcon Heavy launches (2010–2019),0.6,0.6,45,5,0.0
List of Euphorbia species (P–Z),0.6,0.6,58,10,0.0
Ketene cycloaddition,0.8,0.8,16,5,0.0
List of DNS record types,1.0,1.0,31,30,0.0
Ketolysis,0.8,0.8,80,5,0.0
Ketotifen,0.8,0.8,66,10,0.0
Key–value database,1.0,1.0,65,40,0.0
Khasekhemwy,0.6,0.6,72,5,0.0
Khintchine inequality,0.8,0.8,42,5,0.0
List of Croatian NBA players,0.8,0.8,58,10,0.0
Kidney disease,1.0,1.0,101,5,0.0
Lipid bilayer,1.0,1.0,13,60,0.0
List of Costa Rican monkey species,0.6,0.6,93,5,0.0
List of Corydoras species,0.6,0.6,15,10,0.0
Kikoe-ōgimi,1.0,1.0,25,5,0.0
List of Commodore 64 games,0.6,0.6,88,5,0.0
Kikuchi disease,0.6,0.6,64,190,0.0
List of Chinese martial arts,0.8,0.8,40,5,0.0
List of Chinese classifiers,0.8,0.8,64,15,0.0
Kil'ayim (tractate),0.6,0.6,74,5,0.0
Kill Switch (The X-Files),0.6,0.6,7,5,0.0
Kill game,0.8,0.8,6,5,0.0
Kernel embedding of distributions,1.0,1.0,45,20,0.0
Kermit (protocol),0.6,0.6,28,5,0.0
List of Franklin episodes,0.6,0.6,82,5,0.0
Keratoconus,0.6,0.6,9,5,0.0
List of Howard University people,0.8,0.8,60,25,0.0
List of Greek and Latin roots in English/H–O,1.0,1.0,87,10,0.0
List of Go terms,0.6,0.6,23,5,0.0
List of Glagolitic manuscripts (1900–present),0.6,0.6,90,5,0.0
List of Germans who resisted Nazism,1.0,1.0,97,5,0.0
List of German exonyms for places in Croatia,0.6,0.6,85,5,0.0
Kalthifrons,0.6,0.6,60,5,0.0
Kamiyonanayo,0.8,0.8,76,5,0.0
Kampfgruppe,1.0,1.0,91,5,0.0
Kaposi's sarcoma,0.8,0.8,0,5,0.0
Kappa number,0.6,0.6,30,5,0.0
Karplus equation,0.8,0.8,76,25,0.0
Kashin–Beck disease,0.6,0.6,38,5,0.0
List of French peerages,0.8,0.8,35,5,0.0
Katakana (Unicode block),0.8,0.8,38,5,0.0
Katyn massacre,0.6,0.6,88,5,0.0
Kavanah,1.0,1.0,82,5,0.0
Kavka's toxin puzzle,0.6,0.6,62,5,0.0
Keloid,0.8,0.8,75,5,0.0
Kendall's notation,1.0,1.0,68,5,0.0
Keratin,0.8,0.8,25,15,0.0
Kill switch (synthetic biology),0.8,0.8,0,5,0.0
Killer application,0.6,0.6,59,5,0.0
List of CIL instructions,0.8,0.8,79,5,0.0
List of ARM processors,0.6,0.6,37,5,0.0
List of 5α-reductase inhibitors,1.0,1.0,84,10,0.0
Kosher animals,0.6,0.6,19,5,0.0
List (abstract data type),1.0,1.0,77,15,0.0
List,0.8,0.8,95,15,0.0
Kramatorsk railway station attack,0.6,0.6,64,15,0.0
Lipoxin,0.6,0.6,57,35,0.0
Liposarcoma,0.6,0.6,20,15,0.0
Lipoprotein,0.8,0.8,95,20,0.0
L. Sprague de Camp bibliography,0.6,0.6,60,30,0.0
Lipogenesis,0.8,0.8,10,20,0.0
Lipofection,1.0,1.0,0,5,0.0
LCP array,1.0,1.0,40,30,0.0
LCP1,0.6,0.6,41,5,0.0
LD 350-1,0.6,0.6,97,80,0.0
Lipodermatosclerosis,0.6,0.6,59,5,0.0
LED display,0.6,0.6,37,5,0.0
Lipid-laden alveolar macrophage,0.6,0.6,75,15,0.0
Lipid storage disorder,0.8,0.8,29,5,0.0
Lipid pneumonia,1.0,1.0,42,35,0.0
LUX,0.6,0.6,20,30,0.0
LYME (software bundle),0.6,0.6,85,5,0.0
Kosaraju's algorithm,0.8,0.8,43,10,0.0
Korean language and computers,0.8,0.8,44,5,0.0
List of CAS numbers by chemical compound,1.0,1.0,95,20,0.0
List of American libertarians,0.6,0.6,73,20,0.0
Killing of Eric Harris,0.8,0.8,23,5,0.0
Kiwa (crustacean),1.0,1.0,74,10,0.0
Kiyoshi Shiga,0.6,0.6,4,5,0.0
Klazomania,0.6,0.6,79,10,0.0
List of Beretta Mini Pistols,0.8,0.8,87,10,0.0
Kleihauer–Betke test,0.6,0.6,44,5,0.0
Knoevenagel condensation,0.6,0.6,94,5,0.0
Knowledge acquisition,0.8,0.8,97,5,0.0
Knowledge building,0.8,0.8,91,5,0.0
Knowledge extraction,1.0,1.0,32,20,0.0
List of Baywatch episodes,0.8,0.8,81,5,0.0
List of Bantu languages,0.6,0.6,87,5,0.0
Kocuria,0.8,0.8,15,10,0.0
Koenen's tumor,0.6,0.6,19,5,0.0
List of B-52 Units of the United States Air Force,0.6,0.6,62,5,0.0
Koha (software),0.8,0.8,83,5,0.0
List of Atlantic hurricane records,0.6,0.6,86,5,0.0
List of Arleigh Burke-class destroyers,0.8,0.8,95,10,0.0
Kolmogorov–Smirnov test,1.0,1.0,43,5,0.0
Komagataeibacter xylinus,0.8,0.8,12,55,0.0
List of American television series impacted by the COVID-19 pandemic,1.0,1.0,62,15,0.0
Insect migration,1.0,1.0,91,5,0.0
Interactive evolutionary computation,0.8,0.8,18,5,0.0
Ideology of the SS,0.8,0.8,29,5,0.0
Immunodeficiency,0.8,0.8,58,35,0.0
List of mathematical logic topics,1.0,1.0,71,5,0.0
List of mathematical knots and links,0.6,0.6,37,30,0.0
Hypofrontality,0.6,0.6,37,5,0.0
List of mathematical examples,0.6,0.6,83,30,0.0
Hypogeusia,0.6,0.6,46,5,0.0
Hypokalemic periodic paralysis,0.6,0.6,101,5,0.0
Hypomimia,1.0,1.0,33,10,0.0
List of mass spectrometry software,0.6,0.6,5,65,0.0
List of martial arts weapons,1.0,1.0,32,15,0.0
Hypothetical species,0.8,0.8,57,5,0.0
List of marine mammal species,0.6,0.6,20,5,0.0
Hypothiocyanite,0.8,0.8,42,45,0.0
Hypoventilation,0.8,0.8,72,10,0.0
Hypoventilation training,0.6,0.6,100,10,0.0
I (Mongolic),0.6,0.6,36,5,0.0
IA-32 Execution Layer,1.0,1.0,94,5,0.0
IBM Blue Gene,1.0,1.0,39,10,0.0
ICMP Router Discovery Protocol,0.6,0.6,37,5,0.0
IETF language tag,0.8,0.8,81,15,0.0
List of mammals of Wyoming,0.6,0.6,63,5,0.0
IGFBP1,0.6,0.6,33,10,0.0
List of mammals of Wisconsin,0.6,0.6,61,5,0.0
List of mammals of Kansas,0.8,0.8,44,5,0.0
"List of medical roots, suffixes and prefixes",0.6,0.6,39,5,0.0
List of megalopolises,0.8,0.8,68,5,0.0
List of microphone manufacturers,0.6,0.6,81,5,0.0
Hypergeometric distribution,0.8,0.8,89,5,0.0
List of monastic houses in Scotland,0.8,0.8,13,5,0.0
Hydrostatic test,0.6,0.6,72,5,0.0
Hygrocybe,0.6,0.6,89,15,0.0
Hymenoepimecis argyraphaga,0.6,0.6,39,5,0.0
List of monastic houses in County Louth,0.8,0.8,51,5,0.0
Hyoscyamine/hexamethylenetetramine/phenyl salicylate/methylene blue/benzoic acid,0.6,0.6,30,10,0.0
Hyperammonemia,0.6,0.6,83,15,0.0
List of model organisms,0.6,0.6,63,275,0.0
Hypercholesterolemia,0.8,0.8,22,5,0.0
List of missiles,0.8,0.8,15,5,0.0
List of misidentified chemical elements,0.6,0.6,40,20,0.0
Hyperthecosis,1.0,1.0,100,5,0.0
Hypergolic propellant,0.8,0.8,62,5,0.0
Hyperhomology,0.8,0.8,67,5,0.0
Hyperintensity,0.8,0.8,90,10,0.0
Hypermetabolism,1.0,1.0,91,20,0.0
List of minor planets and comets visited by spacecraft,0.6,0.6,74,5,0.0
Hypertensive crisis,0.8,0.8,47,5,0.0
List of military transport aircraft,0.6,0.6,82,10,0.0
List of military operations in the war in Afghanistan (2001–2021),0.8,0.8,23,5,0.0
List of military operations in the West European Theater during World War II by year,1.0,1.0,35,10,0.0
List of military aircraft of Japan,0.6,0.6,9,5,0.0
List of mammals of Angola,0.6,0.6,15,5,0.0
ILF2,0.6,0.6,28,30,0.0
List of mammals described in the 2000s,0.8,0.8,63,5,0.0
Ileitis,0.8,0.8,69,5,0.0
IUPAC nomenclature of inorganic chemistry 2005,0.6,0.6,78,15,0.0
Ibudilast,0.8,0.8,58,5,0.0
Ichthyosis,0.6,0.6,59,10,0.0
List of integrals of inverse hyperbolic functions,0.8,0.8,37,5,0.0
Identity by type,0.8,0.8,89,5,0.0
List of commonly used taxonomic affixes,0.8,0.8,39,20,0.0
Idioblast,0.6,0.6,89,5,0.0
Idiopathic postprandial syndrome,0.8,0.8,8,10,0.0
List of integer sequences,0.8,0.8,80,40,0.0
Idiotype,1.0,1.0,56,4,0.0
Illumina Methylation Assay,0.8,0.8,32,255,0.0
List of introduced species,1.0,1.0,33,10,0.0
Image editing,1.0,1.0,66,10,0.0
Image file format,1.0,1.0,60,5,0.0
Image hosting service,1.0,1.0,44,5,0.0
Imerslund–Gräsbeck syndrome,0.6,0.6,50,25,0.0
Imidazole-4-acetaldehyde,1.0,1.0,93,25,0.0
List of inhabited islands of Croatia,1.0,1.0,30,15,0.0
List of industrial music labels,0.6,0.6,62,5,0.0
Immanant,0.8,0.8,84,5,0.0
Immune disorder,1.0,1.0,88,15,0.0
Immune tolerance in pregnancy,0.6,0.6,80,35,0.0
List of interface bit rates,0.8,0.8,89,5,0.0
ITCH,0.6,0.6,17,5,0.0
ILF3,0.6,0.6,25,90,0.0
ISO 10303-21,0.6,0.6,59,5,0.0
IMOD (software),0.8,0.8,98,125,0.0
IPA consonant chart with audio,0.8,0.8,43,5,0.0
List of lymph nodes of the human body,0.8,0.8,94,5,0.0
List of lists of lists,0.6,0.6,60,60,0.0
IPEX syndrome,0.8,0.8,71,5,0.0
IPLEDGE program,0.8,0.8,91,5,0.0
List of light novels,0.6,0.6,62,5,0.0
List of legal abbreviations,0.6,0.6,87,10,0.0
List of least concern birds,0.6,0.6,23,5,0.0
List of least concern arthropods,0.8,0.8,60,5,0.0
List of laws,0.6,0.6,86,5,0.0
List of inventions named after people,0.6,0.6,99,5,0.0
List of largest snakes,0.6,0.6,100,5,0.0
ISO 704,0.6,0.6,39,15,0.0
ISO/IEC 7812,0.6,0.6,86,5,0.0
List of lands at Universal theme parks,0.6,0.6,54,5,0.0
ISO/IEC JTC 1/SC 29,0.6,0.6,86,5,0.0
List of known legal cases involving super-injunctions,0.8,0.8,18,5,0.0
List of kanji radicals by frequency,0.6,0.6,29,120,0.0
List of islands in the Indian Ocean,0.8,0.8,92,10,0.0
IT disaster recovery,0.6,0.6,68,5,0.0
IT-1,0.6,0.6,64,5,0.0
List of multivariable calculus topics,1.0,1.0,37,20,0.0
List of munitions used by the Israeli Air Force,0.6,0.6,29,10,0.0
Hydroperoxyl,0.8,0.8,97,5,0.0
List of pines by region,0.8,0.8,44,15,0.0
Hittite cuneiform,0.8,0.8,66,5,0.0
List of proposed language families,1.0,1.0,29,20,0.0
List of programming languages by type,1.0,1.0,76,5,0.0
Hittite inscriptions,0.6,0.6,86,5,0.0
List of prime ministers of Belgium by time in office,0.6,0.6,59,5,0.0
List of primates described in the 2020s,0.6,0.6,85,5,0.0
List of political parties in Southern Europe,0.6,0.6,63,5,0.0
List of political parties in Catalonia,0.6,0.6,44,5,0.0
List of playwrights by nationality and year of birth,0.8,0.8,12,40,0.0
List of plant family names with etymologies,0.6,0.6,50,25,0.0
List of physical quantities,0.6,0.6,34,25,0.0
History of trigonometry,0.6,0.6,89,5,0.0
Hoffmann syndrome,1.0,1.0,99,5,0.0
List of physical constants,0.8,0.8,88,5,0.0
List of phylogenetic tree visualization software,0.6,0.6,72,25,0.0
List of photographs considered the most important,0.6,0.6,70,5,0.0
Hokan languages,0.8,0.8,35,15,0.0
Homages,0.8,0.8,6,550,0.0
List of photographic equipment makers,0.8,0.8,21,5,0.0
Home media,0.8,0.8,22,5,0.0
Homeotic gene,1.0,1.0,80,10,0.0
List of phobias,0.6,0.6,83,10,0.0
List of psychoactive drugs used by militaries,0.6,0.6,47,5,0.0
List of psychoactive plants,0.8,0.8,63,20,0.0
Homochirality,0.6,0.6,55,15,0.0
Histone deacetylase inhibitor,1.0,1.0,0,5,0.0
Histamine,1.0,1.0,49,60,0.0
List of secular humanists,0.6,0.6,87,5,0.0
List of rules of inference,0.8,0.8,56,15,0.0
List of rivers of the United States,0.6,0.6,36,10,0.0
List of rice cultivars,0.8,0.8,90,5,0.0
Histiocytoma,0.8,0.8,45,10,0.0
List of retailers affected by the retail apocalypse,0.6,0.6,48,5,0.0
List of reptiles of Lesotho,0.6,0.6,40,5,0.0
List of religious texts,0.8,0.8,31,5,0.0
List of recombinant proteins,0.6,0.6,70,145,0.0
Histopathology,1.0,1.0,26,5,0.0
History of the web browser,0.6,0.6,33,5,0.0
History of animal testing,1.0,1.0,89,5,0.0
List of reagent testing color charts,1.0,1.0,75,30,0.0
History of biological warfare,0.6,0.6,12,50,0.0
History of computing hardware (1960s–present),1.0,1.0,56,5,0.0
History of magnetic resonance imaging,0.8,0.8,55,5,0.0
History of military technology,0.8,0.8,71,5,0.0
List of rail accidents (2000–2009),0.6,0.6,36,5,0.0
History of smallpox,0.6,0.6,69,30,0.0
History of the Catholic Church in Japan,0.8,0.8,77,5,0.0
List of raids,0.8,0.8,58,5,0.0
Hominy,0.8,0.8,88,5,0.0
Homologous recombination,1.0,1.0,0,5,0.0
Hydrolysable tannin,0.6,0.6,62,15,0.0
Human thermoregulation,0.6,0.6,49,5,0.0
Human information interaction,1.0,1.0,74,5,0.0
List of neuroscience databases,1.0,1.0,32,455,0.0
Human metapneumovirus,0.6,0.6,0,5,0.0
Human microbiome,0.8,0.8,3,40,0.0
Human papillomavirus infection,1.0,1.0,62,140,0.0
Human placentophagy,0.6,0.6,75,5,0.0
List of neurological conditions and disorders,1.0,1.0,16,20,0.0
Human polyomavirus 2,0.6,0.6,28,105,0.0
Human sex pheromones,0.8,0.8,76,5,0.0
Human skeleton,0.8,0.8,83,5,0.0
List of network protocols (OSI model),0.8,0.8,36,5,0.0
List of news media APIs,1.0,1.0,38,10,0.0
Human-based evolutionary computation,1.0,1.0,55,25,0.0
List of mythology books and sources,0.8,0.8,73,5,0.0
List of mythological objects,0.8,0.8,45,5,0.0
Human–animal hybrid,0.6,0.6,50,30,0.0
List of musical instruments,0.8,0.8,81,5,0.0
Hungarian nobility,0.8,0.8,69,5,0.0
Hybrid automaton,0.8,0.8,59,5,0.0
Hydrachnidia,0.8,0.8,80,5,0.0
List of mushroom dishes,1.0,1.0,78,5,0.0
Hydrodynamic reception,0.6,0.6,80,10,0.0
Human genetic enhancement,0.8,0.8,68,45,0.0
List of nonlinear partial differential equations,0.6,0.6,30,10,0.0
Honor suicide,1.0,1.0,50,5,0.0
Hox gene,0.8,0.8,80,10,0.0
Hoogsteen base pair,0.6,0.6,71,70,0.0
List of people with epilepsy,0.8,0.8,76,20,0.0
List of people with bipolar disorder,1.0,1.0,17,5,0.0
List of people who were executed,0.6,0.6,72,15,0.0
Host (network),1.0,1.0,11,5,0.0
List of people claimed to possess an eidetic memory,1.0,1.0,49,5,0.0
Host adapter,0.6,0.6,83,5,0.0
List of people associated with the French Revolution,0.6,0.6,61,5,0.0
